,job_descn
11,"Roles & ResponsibilitiesDigitalisation is a key pillar of the Government’s public service transformation efforts. The Digital Government Blueprint is a statement of the Government’s ambition to better leverage data and harness new technologies and to drive broader efforts to build a digital economy and digital society, in support of Smart Nation. Our vision is to create a Government that is “Digital to the Core, and serves with Heart”. A Digital Government will be able to build stakeholder-centric services that cater to citizens’ and businesses’ needs. Transacting with a Digital Government will be easy, seamless and secure.  To support the desired pace of transformation and digitalisation within the Whole-of-Government, a Director, Technical Masterplanning position has been created under the Technical Masterplanning Office. Reporting into the Government Chief Digital Technology Officer (GCDTO), you will assist the GCDTO in establishing the strategic and mid to long term digital roadmap and architecture to help shape the technology plans for the whole-of-government.  You will focus on supporting the strategic use of technology within the public sector, driven by efficiency and effectiveness, and prioritising user driven approaches for better value creation.  As there are many conflicting priorities across the Whole-of-Government, one must rally teams to plan projects holistically and in a streamlined approach with the objective of leveraging the synergies across Whole-of-Government.  Some of the emerging themes are e-government, access to open data, citizen engagement and so forth.  To succeed in this role, you should have at least 10 years of experience working in a consulting firm, with a focus on technology or digital initiatives.  Preferably with exposure to public sector and a good grasp of interoperability.  You should possess strong communication skills, with the ability to tell a compelling story, linking technology with business. You also have a natural flair in working with people, with the ability to cultivate strong working relationships, collaboratively across the organisation with the view of shaping the transformation programmes."
12,"Roles & ResponsibilitiesThe Opportunity Our client is a global software company helping corporations and government agencies manage enterprise complexity by providing an interactive view of their operations. Business and Technology leaders use their solutions to gain the visibility and information they need to drive business and digital transformation. They are looking for a versatile Business Consultant to support new software implementation projects across ASEAN countries based in Singapore.   The role As a Business Consultant, you will be a key member of the business team based in Singapore and will be instrumental in the success of their product implementation projects in the whole region. Your role will be to guide clients through the software implementation and their EA programs, by adapting our client’s best practices and methodology to their specific needs.   You will lead business development, projects scoping, workshops, specifications, testing and training phases on each project.  Advise the client on EA best practices Support the client in delivering value through architecture and portfolio management Prepare and lead scoping meetings Analyze client needs Write specifications Guide the client in populating EA data Lead training sessions Customize training material and user guides Manage the client relationship Business Development, identify new opportunities, communicate client flowchart, As Customer success you will provide customize training material and user guides RequirementsThe Talent  5 to 10 years of working experience Business Development and IT Integration Experience in software implementation Soft skills: analysis, conciseness, organization, method Management skills: ability to lead a project team Willing to travel 20% of the role Thai speaking would be an advantage as the incumbent will need to lease with Thai clients   What to Expect They provide competitive compensation, generous benefits and a professional atmosphere. This is a very collaborative and inclusive work environment where individuals strong on aptitude and attitude will have an opportunity to grow their professional careers through working with some of the most advanced technology and talented developers in the business.   If interested in applying for this position kindly send your resume to Lionel Gabriel at lionel.gabriel@springasia.com   EA license No. 09C5803 EA Reg. No.:  R1874275 *SG/SM1"
13,"Roles & ResponsibilitiesWe are looking for a passionate Infrastructure Engineer with a focus on Automation Platform (ServiceNow). Successful candidate will play a lead role in the orchestration and building of business applications as well as establishing and architecting ITSM developers’ framework. He/she should have prior work experience in the area of automation and hands-on programming. What to Expect:   Establish and architect ITSM developers’ framework as part of CI/CD development Play a lead role in the orchestration and building of business applications using ServiceNow including Application, Workflow and UI configuration Interact with stakeholders to understand and develop high level approach and goals for requested product pipeline Design appropriate data architecture and technical process flow including client specific reporting and integration components (SSO, LDAP etc) Translate stakeholders requirements into workable systems, using best practice solutions on the ITSM platform Participate in end-to-end testing of the product’s functionality Collaborate in an agile and multi-disciplinary team Ensure proper documentation throughout the process Support and maintain the built solution  How to Succeed:   Degree in Computer Science/Computer Engineering or related disciplines Minimum 3 years of hands-on programming experience in ITSM product, in particular ServiceNow 3+ years working in the IT services/consulting industry Working experience and proficient with the following:  JavaScript XML HTML CSS REST API design HTTP Web Services Database-level integrations/ETL   Knowledge of technical components such as LDAP, VPN, SSL, SAML/SSO and other such technology Experience with workflow-based application design and working knowledge of relational databases, particularly in ServiceNow Broad understanding of configuration management/orchestration tools such as Ansible, Chef or Puppet Broad understanding of automation platform tools such as Code Repo, Jira Broad understanding of IT Infrastructure tools such as security, monitoring, VMs, networks, logging and windows-based infrastructure applications such as SCCM Preferred certifications in ServiceNow Scripting, ServiceNow Advanced System Administrator and ServiceNow Application Creation Understanding of Agile work practices/ITIL Strong interpersonal and communication skills Proven team player "
14,"Roles & Responsibilities•Designing the SAP B4 HANA landscape and defining the future state architecture and Analytic framework, focusing on SAP business reporting on HANA. •Getting involved in the functional analysis (FA) of developing the solution requirements and defining data models to meet reporting requirements •Leading SAP B4HANA strategy for implementation and support •Developing reporting application strategy for Reporting from SAP B4 HANA and S/4 HANA using SAP Business Objects.Requirements•7+ years of on experience with SAP BW/BI reporting and 10+ years of overall IT experience. •2+ years of experience in SAP BW on HANA / B4HANA •Strong experience with SAP BW platform, interfaces to BW platform, standard SAP extractors for BW, reporting on BW platform.  •Strong experience in SAP Business Objects with knowledge of Webi, Analysis for Office, Dashboard •Good understanding of SAP HANA Studio/Eclipse •Strong experience of project lifecycle management and buisness communication  •Should have an understanding of SAP core Finance, Human Resources, Procure-to-Pay modules to facilitate extraction of data •Experienced in 3 full lifecycle SAP implementations •Bachelor’s Degree or a combination of education and equivalent experience"
15,"Roles & ResponsibilitiesJob Description Responsibilities  Prepare motor and/or commercial quotations (on the job training provided) Data entry, filing, recording Follow up on payments Phone/Mail handling Answer queries from Agent/Client RequirementsRequirements:  Minimum ITE qualifications Able to speak English and Mandarin Familiar with Microsoft Office and email A team player, possessing interpersonal and communication skills Customer oriented Able to prioritize and work fast to meet deadlines Pro-active, adaptable and a fast learner Positive attitude and hardworking Ability to start work immediately "
16,"Roles & ResponsibilitiesResponsibilities:﻿     - Establish and maintain Capacity Modeling  - Track capacity model parameter and ensure data accuracy  - Benchmark tool to tool performance       - Capacity scenarios study, analysis and capacity optimization  - Work closely with operation and engineering to drive MOOI, OEE, cycle time on bottleneck equipment and resolve capacity constraint  - Support Lean manufacturing and operation excellence project - Provide solution and works independently to resolve manufacturing operation problem and capacity constraints         RequirementsRequirements: ﻿     - Degree in Industrial Engineering, Manufacturing or related discipline   - 3 to 5 years' experience in industrial engineering and  electronics/ semiconductor operations will be a distinct advantage  - Experienced user of engineering tools such as Microsoft Access, Project, SQL server, VBA and decision tools  - Proficient in data management   - Good exposure on time studies, methods and/or performance analysis methodologies   - Strong analytical, systematic in problem solving approach  - Good team player and able to collaborate with all levels in the organization   - Projects or experienced in Factory Automation"
17,"Roles & ResponsibilitiesResponsibilities:  Possess the ability to deliver on the insights obtained through customer research and interaction data by driving product vision and strategy to position the product, convey the vision to the scrum team Establish credible roadmap, document user stories and be the user and stakeholder advocate to deliver high quality solutions Be the gatekeeper to prioritize the product backlog during the sprint planning meeting Work with engineering teams to clarify and enforce a rigorous definition of ""done"", to ensure the resulting products are of the highest quality Motivate the team with a clear, elevating goal Define business requirements, map capabilities, recommend solutions to improve the customer experience across a broad set of stakeholders Manage the backwards traceability of agile technical user stories to business requirements Work with product architecture to understand and advocate best practices for development of large, scalable, reliable software systems Support Compliance and Legal with enterprise standards, processes and policies Monitor service level agreements to maximize value to the business Contribute to continuous improvement of product ownership and agile processes RequirementsRequirements:    5 years of Scrum experience, with at least 3 years as a Product Owner 5 years software development experience Strong knowledge of agile development experience Hands on experience authoring and refining user stories, grooming product backlogs and prioritizing conflicting requirements Outstanding technical and non-technical communication and presentation skills Experience working with both technical and non-technical stakeholders to both collect requirements and to communicate the product vision and status Experience advocating for and evangelizing points of view to influence decision makers At least one shipped product to your name, preferably a product you led from concept to completion Good knowledge of consumer and technology trends to share a product vision that disrupt the payment industry Flexible, likeable, well-presented and able to work well with others "
18,"Roles & ResponsibilitiesDescription: As Planning Scenario Strategic Engineer, you are responsible to work with the team to conduct strategic scenario planning analysis. You will be tied in to the Fab Scenario Optimization Study, Business Plan, Supply Chain and key process such as SnOP and MOR. This role requires flexibility and ability to maintain global relationship, good communication and presentation skills, and provide clear and qualitative data analysis for the upper management to support decision making. You should possess detailed understanding on capacity planning, business process, identifying opportunities to support scenario optimization.   Responsibilities: •Apply industrial engineering concepts to model the capacity thresholds to support existing and future technologies •Facilitate a Lean Manufacturing culture from design through manufacturing •Manage complex projects across several different departments and sites •Collaborate with Central and process development teams to plan capacity requirements of future products to quantify the impact on existing and future capital •Adhere to calendar requirements and agreements with respect to Business Planning Process •Plan and design the annual business plan forecast •Align product road-map to business requirements within financial budgets •Adapt to changes in Business Planning •Manage databases, scenario ownership and change control •Analyze data to support financial decisions •Manage Qtr baseline for corporate goals •Coordinate with all stakeholders to ensure all the parameters updates are in-place •Ensure all the monthly MSR/SRx are well analyzed •Participate in training systems and tool development •Create, Maintain and update Sharepoint •Strive to streamline business efficiency and eliminate manual errorsRequirementsRequirements: •Bachelor's Degree in Industrial Engineering, Production Operations Management, Engineering (POM or related discipline and/or equivalent experience) •Strong understanding of statistics, data analysis and problem solving •Intermediate to advanced understanding of area tool configurations, capabilities, and basic process and mechanical functionality •Advanced understanding of Manufacturing Science (scheduling, inventory management, capacity planning, etc) •Excellent verbal and written communication skills, good PC skills and strong data collection skills including database management •Possess good teamwork skills and strong multi-tasking capability •Able to collaborate freely and communicate openly and clearly with co-workers and management •Ability to be self-motivated and work effectively with minimal supervision Excellent interpersonal skills with the ability to work with people at all levels"
19,"Roles & ResponsibilitiesResponsibilities: A) Repair, Maintenance and Replacement of Taxi Equipment, for example, Mobile Data Terminal (MDT), Taxi Meter, Cashless Pinpad, In-vehicle Camera etc B) Others • Installation of Taxi Equipment(New and Replacement) • Removal of Taxi Equipment(Storage and Scrap) • Project Execution(Upgrading/Improvement of Taxi Equipment) • Homologation of New Vehicle Model  • Storage/Packing of Taxi Equipment • Preparation of Taxi Equipment for New Vehicles Registration • Equipment firmware checks, uploading/downloading and documentation/email • User Acceptance Test on Taxi Equipment • Downloading of Meter/MDT log files for Analysis/Troubleshoot • Camera Video Retrievals Procedure/Formatting  • Meter/Camera/Pinpad seal replacement/documentation  • Procedure of Taxi Equipment usage to Hirers • Rewiring/Relocation of Taxi Equipment • Monthly Stock Inventory Check/Upkeep • Soldering work • Documentation/Service reportRequirementsTechnician/Electrician (Equipment team) -Working Hours: Mon to Fri, 0830hr to 1800hr, Alternate Sat 9am to 1pm (5.5 working days, Alternate Saturday) -Salary range: $1,800 to $2,000 (with overtime benefit) -Working location: Changi South  -Company transport provided at Yio Chu Kang/Jurong East/Tanah Merah MRT"
20,"Roles & ResponsibilitiesEngineering Assistant-QA (S$1800-2000+OT, Day Shift, West) Working Hours: Day Shift (8am-8pm, 12 hours) in Cleanroom Environment Working Day    : 15 days / Month Salary               : $1800-2,000 + AWS + VB, Shift and Meal Allowance Location           : Pinoeer, Shuttle bus provided   Responsibilities:  Assist investigation/data analysis for any customer claims Handle customer audit and preparation of checklist Work closely with other department to development of process improvement projects. Ensure compliance to ISO standard Other ad- hoc duties as required by superior    RequirementsRequirements  Minimum Diploma in Mechanical, Electrical Engineering, Chemical or other related Science & Engineering discipline Self-motivated, independent and able to contribute as a team player Working Hour: 8am-8pm (12 hours day shift) Able to work in cleanroom environment Working Location: Pioneer (Company provides island-wide transport to and fro company)    We thank you for your interest in this position, applicants with relevant experience please send Microsoft word resume with expected salary to apply@machspeed.com.sg and attention to Bingcheng for faster processing, alternatively, please visit https://www.facebook.com/MachspeedHR for more jobs available, thank you. Thank you very much. Agency License No. 12C6200 EA Registration No: R1437671   "
21,"Roles & ResponsibilitiesHewlett Packard Enterprise is an industry leading technology company that enables customers to go further, faster. With the industry’s most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.   HPE APJ Innovation Center Singapore focuses on providing customers with world class products and solutions in the big data analytics space, using state-of-the-art big data technologies and advanced analytics techniques.   We have an exciting opportunity for a Data Scientist to join our team and make a difference!  He/she will be a part of our innovation center and involved in interesting work such as NLP, IoT analysis and generally exposed to different domains. RequirementsResponsibilities  Collaborate with business partners from various industries to identify gap and practical problems. Develop machine learning and quantitative models to solve business problems. Create actionable insights and meaningful visualizations using machine learning technologies that “tell a story"" to the customers. Communicate findings to sales, engineering and business teams.    Knowledge and Skills Desired:  Deep understanding of multiple machine learning and artificial intelligence Knowledge and understanding of data pipeline Deep knowledge of at least one of the frameworks Deep mathematical understanding of statistics, calculus and other related fields         Education and Experience Required:  PhD degree in Mathematics, Statistics, Operations Research, Computer Science or equivalent In the absence of a PhD, a Master´s Degree in one of these areas and 3 years and above of industry experience applying analytics and data science is required 3 years’ experience in programming in Python or R 3 years’ and above of industry experience applying analytics and data science 3 years’ programming experience in two or more relevant languages Broad, general knowledge of Machine Learning and Artificial Intelligence Framework ecosystems and languages, such as:  - Caffe - TensorFlow"
22,"Roles & ResponsibilitiesSenior Software Engineer (Windows Desktop) Primary Purpose of this Position To specify, design and verify data management applications for the Microsoft Windows desktop environment.  These applications support Softing’s range of hand-held testers for data networks, allowing users to view and manage test data.  The role includes responsibility for graphical user interface design and all aspects of the user experience, in addition to designing code for data management and the manipulation of large and complex data sets on both local file systems and in cloud databases.   Reporting to:  Software Project Manager   Responsibilities:   • Creation of requirements documents, working with Product Management and other stakeholders. • Development of system designs to support those requirements, including desktop applications and cloud server back-end databases. • Specify, design and verify desktop and server applications for the Microsoft Windows platform. • Maintenance and ongoing development of existing legacy applications, including feature enhancements and upgrades. • Management of the entire software development lifecycle, including a structured approach to project management and documentation. • Requirements capture and translation of product requirements into technical requirements and specifications. • Delivering user experience and graphical user interface designs that are consistent, professional, and aligned both with Softing’s corporate brand image and also the standard conventions of up-to-date Microsoft Windows and Office applications. • Working with the rest of the team on the design of future system architectures and platforms • Working with the rest of the team on system testing, debugging, and quality assurance • Ensure that all business activity is conducted in line with company values, policies and codes of conduct • Undertake any other activity as reasonably requested by management    RequirementsRequirements: • Proven track record of developing commercial applications for the Windows desktop environment. • At least 3 to 5 years’ professional experience of Windows development. • Commercial experience with the Microsoft .NET Framework using C#. • Commercial experience with Microsoft SQL operating on large data sets. • Experience of developing client-server or Cloud applications. • Experience with the use of Model-View-Controller (MVC) architectures would be beneficial. Interested applicants please submit detailed CV to:                                               t.chan@jondavidsongroup.com Name of EA Personnel   :  Thomas Chan EA Registration No         :  R1766693      • Experience with embedded Windows platforms (WinCE) would be beneficial. • Experience of working with structured and documented product requirements, thus allowing automated regression testing would be beneficial. • Good communicator including excellent verbal and written English.  Able to write clear English for user interfaces – for example installation instructions, dialogue boxes, and error messages. • Degree in Software Engineering, Computer Science or another related subject. • Ability to work autonomously with minimal supervision, including time management and prioritisation.  Project management experience would be beneficial. • Team player who enjoys interacting with a group of highly-motivated engineers. • Ability to analyse and resolve complex technical issues at a system design level, collaborating across multiple disciplines. • Flexible approach to working in a small team, requiring a hands-on approach to getting things done.  "
